timestamp docsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid 
20150729_205054 50 1 2 10 100000 420477893 569 10000 0 5639 9999 569 39 2500 1 8953 8346 607 568 30000 100 0 0 4 292.812 60.777 ../Q3/./log/doc50cop2shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed420477893.log 18190891 q3-extractinstructions.txt 20150729_205754 0.5 55b2afeb7768392c683f050f
20150729_205618 50 1 2 10 100000 597296547 163 10000 0 9839 413 163 39 2500 1 9458 9249 209 161 30000 100 0 0 1 201.215 41.48 ../Q3/./log/doc50cop2shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed597296547.log 9454354 q3-extractinstructions.txt 20150729_210044 0.5 55b2afeb7768392c683f0514
20150729_205033 50 1 2 10 100000 105731136 965 10000 0 5358 9876 965 39 2500 1 8539 7659 880 841 30000 100 0 0 8 438.585 69.405 ../Q3/./log/doc50cop2shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed105731136.log 27606827 q3-extractinstructions.txt 20150729_210048 0.5 55b2afeb7768392c683f050d
20150729_205359 50 1 2 10 100000 50746969 407 10000 0 5840 9999 407 39 2500 1 9038 8584 454 406 30000 100 0 0 3 343.958 51.059 ../Q3/./log/doc50cop2shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed50746969.log 15280322 q3-extractinstructions.txt 20150729_210125 0.5 55b2afeb7768392c683f0511
20150729_205800 50 1 2 10 100000 258760793 319 10000 0 9882 555 319 39 2500 1 9535 9164 371 318 30000 100 0 0 2 240.719 43.571 ../Q3/./log/doc50cop2shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed258760793.log 12523328 q3-extractinstructions.txt 20150729_210334 0.5 55b2afeb7768392c683f0516
20150729_205221 50 1 2 10 100000 263688301 861 10000 0 5340 10000 861 39 2500 1 8450 7560 890 861 30000 100 0 0 7 498.953 63.258 ../Q3/./log/doc50cop2shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed263688301.log 26620615 q3-extractinstructions.txt 20150729_210347 0.5 55b2afeb7768392c683f0510
20150729_205602 50 1 2 10 100000 711283608 542 10000 0 5738 10000 542 39 2500 1 9048 8448 600 542 30000 100 0 0 4 355.330 51.558 ../Q3/./log/doc50cop2shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed711283608.log 18237032 q3-extractinstructions.txt 20150729_210412 0.5 55b2afeb7768392c683f0513
20150729_205547 50 1 2 10 100000 533657980 633 10000 0 5625 9999 633 39 2500 1 8912 8237 675 632 30000 100 0 0 5 388.257 54.305 ../Q3/./log/doc50cop2shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed533657980.log 21147195 q3-extractinstructions.txt 20150729_210450 0.5 55b2afeb7768392c683f0512
20150729_205947 50 1 2 10 100000 666549275 308 10000 0 9807 536 308 39 2500 1 9215 8856 359 306 30000 100 0 0 2 236.335 54.491 ../Q3/./log/doc50cop2shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed666549275.log 12383627 q3-extractinstructions.txt 20150729_210510 0.5 55b2afeb7768392c683f0517
20150729_210104 50 1 2 10 100000 376517787 267 10000 0 9801 517 267 39 2500 1 9238 8926 312 265 30000 100 0 0 2 219.962 60.949 ../Q3/./log/doc50cop2shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed376517787.log 12400610 q3-extractinstructions.txt 20150729_210609 0.5 55b2afeb7768392c683f0518
